Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/13/2025,10/13/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-53.40,
10/13/2025,10/13/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-73.04,
10/13/2025,10/13/2025,VENMO*PAYMENT,,Sale,-17.23,
10/14/2025,10/14/2025,BT*SUPER+1-833-773-8471 SAN FRANCISCO CA,,Sale,-8.99,
10/14/2025,10/14/2025,NAMECHEAP.COM*ORDER 000198234,,Sale,-38.88,
10/14/2025,10/14/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-47.30,
10/15/2025,10/15/2025,SAFEWAY #1842 FREMONT CA,,Sale,-74.30,
10/15/2025,10/15/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-13.10,
10/15/2025,10/15/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-20.49,
10/16/2025,10/16/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-76.89,
10/16/2025,10/16/2025,SQ *PHILZ COFFEE,,Sale,-9.19,
10/16/2025,10/16/2025,VENMO*PAYMENT,,Sale,-17.74,
10/17/2025,10/17/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-68.23,
10/17/2025,10/17/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-32.18,
10/19/2025,10/19/2025,SAFEWAY #1842 FREMONT CA,,Sale,-8.49,
10/19/2025,10/19/2025,WARNERMEDIA*HBO MAX,,Sale,-16.99,
10/20/2025,10/20/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-91.43,
10/22/2025,10/22/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-73.91,
10/22/2025,10/22/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-77.45,
10/22/2025,10/22/2025,TST* TARTINE BAKERY 0091,,Sale,-22.19,
10/23/2025,10/23/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-51.13,
10/23/2025,10/23/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-16.47,
10/24/2025,10/24/2025,IN N OUT BURGER 234,,Sale,-82.71,
10/24/2025,10/24/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-37.62,
10/25/2025,10/25/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-65.54,
10/25/2025,10/25/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-19.58,
10/25/2025,10/25/2025,GOOGLE *Hulu g.co/helppay#,,Sale,-9.99,
10/25/2025,10/25/2025,PAYPAL *ETSY INC 4029357733,,Sale,-34.32,
10/26/2025,10/26/2025,IN N OUT BURGER 234,,Sale,-89.27,
10/26/2025,10/26/2025,SHELL OIL 57444216508,,Sale,-50.22,
10/27/2025,10/27/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-30.23,
10/27/2025,10/27/2025,SHELL OIL 57444216508,,Sale,-21.95,
10/27/2025,10/27/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-48.90,
10/28/2025,10/28/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-31.23,
10/28/2025,10/28/2025,ZXC* Site Access 800-123-4567,,Sale,-12.00,
10/29/2025,10/29/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-73.32,
10/29/2025,10/29/2025,SHELL OIL 57444216508,,Sale,-54.31,
10/29/2025,10/29/2025,SHELL OIL 57444216508,,Sale,-78.86,
10/31/2025,10/31/2025,PAYPAL *ETSY INC 4029357733,,Sale,-21.57,
11/03/2025,11/03/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-11.92,
11/03/2025,11/03/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-58.25,
11/03/2025,11/03/2025,AWS EMEA aws.amazon.co,,Sale,-35.45,
11/03/2025,11/03/2025,NETFLIX 866-579-7172 LOS GATOS CA,,Sale,-24.99,
11/04/2025,11/04/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-23.93,
11/04/2025,11/04/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-28.43,
11/04/2025,11/04/2025,SQ *PHILZ COFFEE,,Sale,-14.65,
11/06/2025,11/06/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-68.35,
11/07/2025,11/07/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-69.74,
11/07/2025,11/07/2025,AMZN Prime Membership,,Sale,-14.99,
11/09/2025,11/09/2025,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
11/09/2025,11/09/2025,SQ *PHILZ COFFEE,,Sale,-64.48,
11/09/2025,11/09/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-14.48,
11/11/2025,11/11/2025,APPLE.COM/BILL,,Sale,-16.99,
11/12/2025,11/12/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-64.67,
11/13/2025,11/13/2025,SAFEWAY #1842 FREMONT CA,,Sale,-89.92,
11/13/2025,11/13/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-19.51,
11/14/2025,11/14/2025,SUPER+ *1833-773-8471,,Sale,-8.99,
11/14/2025,11/14/2025,TARGET T-2213 UNION CITY CA,,Sale,-17.58,
11/14/2025,11/14/2025,TARGET T-2213 UNION CITY CA,,Sale,-76.51,
11/14/2025,11/14/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-49.46,
11/15/2025,11/15/2025,PSP*convenient store NY,,Sale,-53.76,
11/15/2025,11/15/2025,SAFEWAY #1842 FREMONT CA,,Sale,-46.99,
11/15/2025,11/15/2025,SAFEWAY #1842 FREMONT CA,,Sale,-53.28,
11/16/2025,11/16/2025,IN N OUT BURGER 234,,Sale,-71.27,
11/17/2025,11/17/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-52.98,
11/17/2025,11/17/2025,PUBLIX #1397 MIAMI FL,,Sale,-79.77,
11/17/2025,11/17/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-87.87,
11/19/2025,11/19/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-82.73,
11/19/2025,11/19/2025,HBOMAX.COM,,Sale,-16.99,
11/19/2025,11/19/2025,PSP*convenient store NY,,Sale,-34.85,
11/20/2025,11/20/2025,SAFEWAY #1842 FREMONT CA,,Sale,-45.37,
11/20/2025,11/20/2025,SAFEWAY #1842 FREMONT CA,,Sale,-75.49,
11/22/2025,11/22/2025,PAYPAL *ETSY INC 4029357733,,Sale,-19.43,
11/22/2025,11/22/2025,PSP*convenient store NY,,Sale,-44.00,
11/22/2025,11/22/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-89.95,
11/23/2025,11/23/2025,PUBLIX #1397 MIAMI FL,,Sale,-5.00,
11/25/2025,11/25/2025,GOOGLE *Hulu g.co/helppay#,,Sale,-9.99,
11/26/2025,11/26/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-62.21,
11/27/2025,11/27/2025,PSP*convenient store NY,,Sale,-85.61,
11/27/2025,11/27/2025,SHELL OIL 57444216508,,Sale,-89.45,
11/27/2025,11/27/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-46.44,
11/28/2025,11/28/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-27.73,
11/28/2025,11/28/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-9.77,
11/28/2025,11/28/2025,ZXC* Site Access 800-123-4567,,Sale,-12.00,
11/29/2025,11/29/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-15.29,
12/03/2025,12/03/2025,AWS EMEA aws.amazon.co,,Sale,-38.93,
12/03/2025,12/03/2025,NETFLIX.COM 866-579-7172,,Sale,-24.99,
12/03/2025,12/03/2025,VENMO*PAYMENT,,Sale,-37.47,
12/04/2025,12/04/2025,SHELL OIL 57444216508,,Sale,-45.68,
12/04/2025,12/04/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-8.09,
12/06/2025,12/06/2025,PAYPAL *ETSY INC 4029357733,,Sale,-82.06,
12/06/2025,12/06/2025,SQ *PHILZ COFFEE,,Sale,-44.62,
12/07/2025,12/07/2025,AMAZON PRIME*MW4XY2,,Sale,-14.99,
12/07/2025,12/07/2025,PSP*convenient store NY,,Sale,-11.39,
12/07/2025,12/07/2025,PSP*convenient store NY,,Sale,-32.48,
12/08/2025,12/08/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-77.78,
12/08/2025,12/08/2025,TARGET T-2213 UNION CITY CA,,Sale,-29.38,
12/09/2025,12/09/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-88.42,
12/09/2025,12/09/2025,SQ *PHILZ COFFEE,,Sale,-55.39,
12/11/2025,12/11/2025,APPLE.COM/BILL 866-712-7753,,Sale,-16.99,
12/11/2025,12/11/2025,IN N OUT BURGER 234,,Sale,-23.95,
12/11/2025,12/11/2025,PAYPAL *ETSY INC 4029357733,,Sale,-15.08,
12/11/2025,12/11/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-25.97,
12/12/2025,12/12/2025,PAYPAL *ETSY INC 4029357733,,Sale,-78.07,
12/12/2025,12/12/2025,SHELL OIL 57444216508,,Sale,-9.34,
12/12/2025,12/12/2025,SHELL OIL 57444216508,,Sale,-41.65,
12/13/2025,12/13/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-21.15,
12/14/2025,12/14/2025,BT*SUPER+1-833-773-8471 SAN FRANCISCO CA,,Sale,-8.99,
12/15/2025,12/15/2025,SHELL OIL 57444216508,,Sale,-80.23,
12/15/2025,12/15/2025,SQ *PHILZ COFFEE,,Sale,-42.07,
12/16/2025,12/16/2025,PAYPAL *ETSY INC 4029357733,,Sale,-16.03,
12/16/2025,12/16/2025,SAFEWAY #1842 FREMONT CA,,Sale,-34.14,
12/16/2025,12/16/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-72.86,
12/17/2025,12/17/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-27.27,
12/17/2025,12/17/2025,VENMO*PAYMENT,,Sale,-92.81,
12/19/2025,12/19/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-73.46,
12/19/2025,12/19/2025,PUBLIX #1397 MIAMI FL,,Sale,-72.47,
12/19/2025,12/19/2025,WARNERMEDIA*HBO MAX,,Sale,-16.99,
12/21/2025,12/21/2025,SHELL OIL 57444216508,,Sale,-77.38,
12/21/2025,12/21/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-39.80,
12/21/2025,12/21/2025,TST* TARTINE BAKERY 0091,,Sale,-32.33,
12/22/2025,12/22/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-11.03,
12/22/2025,12/22/2025,SAFEWAY #1842 FREMONT CA,,Sale,-94.81,
12/22/2025,12/22/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-13.64,
12/24/2025,12/24/2025,IN N OUT BURGER 234,,Sale,-79.05,
12/24/2025,12/24/2025,PUBLIX #1397 MIAMI FL,,Sale,-73.30,
12/24/2025,12/24/2025,SHELL OIL 57444216508,,Sale,-39.69,
12/25/2025,12/25/2025,HULU 888-265-6650,,Sale,-9.99,
12/25/2025,12/25/2025,SAFEWAY #1842 FREMONT CA,,Sale,-50.41,
12/25/2025,12/25/2025,SAFEWAY #1842 FREMONT CA,,Sale,-58.13,
12/26/2025,12/26/2025,TST* TARTINE BAKERY 0091,,Sale,-55.50,
12/28/2025,12/28/2025,ZXC* Site Access 800-123-4567,,Sale,-12.00,
12/29/2025,12/29/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-90.46,
12/29/2025,12/29/2025,SAFEWAY #1842 FREMONT CA,,Sale,-52.50,
12/29/2025,12/29/2025,SHELL OIL 57444216508,,Sale,-80.33,
12/30/2025,12/30/2025,IN N OUT BURGER 234,,Sale,-22.20,
12/30/2025,12/30/2025,IN N OUT BURGER 234,,Sale,-80.49,
12/30/2025,12/30/2025,TST* TARTINE BAKERY 0091,,Sale,-9.95,
12/31/2025,12/31/2025,PSP*convenient store NY,,Sale,-30.17,
12/31/2025,12/31/2025,PUBLIX #1397 MIAMI FL,,Sale,-62.72,
12/31/2025,12/31/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-94.29,
01/01/2026,01/01/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-11.63,
01/01/2026,01/01/2026,SHELL OIL 57444216508,,Sale,-22.87,
01/01/2026,01/01/2026,TARGET T-2213 UNION CITY CA,,Sale,-7.81,
01/03/2026,01/03/2026,AWS EMEA aws.amazon.co,,Sale,-6.37,
01/03/2026,01/03/2026,NETFLIX 866-579-7172 LOS GATOS CA,,Sale,-24.99,
01/03/2026,01/03/2026,PUBLIX #1397 MIAMI FL,,Sale,-81.77,
01/03/2026,01/03/2026,SHELL OIL 57444216508,,Sale,-69.11,
01/03/2026,01/03/2026,SQ *PHILZ COFFEE,,Sale,-43.46,
01/04/2026,01/04/2026,IN N OUT BURGER 234,,Sale,-70.16,
01/04/2026,01/04/2026,PAYPAL *ETSY INC 4029357733,,Sale,-39.95,
01/04/2026,01/04/2026,TST* TARTINE BAKERY 0091,,Sale,-84.26,
01/05/2026,01/05/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-66.45,
01/06/2026,01/06/2026,VENMO*PAYMENT,,Sale,-26.29,
01/07/2026,01/07/2026,Amazon Prime,,Sale,-14.99,
01/07/2026,01/07/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-86.45,
01/08/2026,01/08/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-46.93,
01/08/2026,01/08/2026,SHELL OIL 57444216508,,Sale,-6.81,
01/09/2026,01/09/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-75.97,
01/09/2026,01/09/2026,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
01/11/2026,01/11/2026,APPLE.COM/BILL 866-712-7753,,Sale,-16.99,
01/11/2026,01/11/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-8.64,
01/11/2026,01/11/2026,PUBLIX #1397 MIAMI FL,,Sale,-54.42,
01/11/2026,01/11/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-37.70,
01/12/2026,01/12/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-6.27,
01/14/2026,01/14/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-45.26,
01/14/2026,01/14/2026,SUPER+ *1833-773-8471,,Sale,-8.99,
01/16/2026,01/16/2026,SHELL OIL 57444216508,,Sale,-84.13,
01/16/2026,01/16/2026,SQ *PHILZ COFFEE,,Sale,-8.01,
01/16/2026,01/16/2026,TARGET T-2213 UNION CITY CA,,Sale,-24.67,
01/17/2026,01/17/2026,SQ *PHILZ COFFEE,,Sale,-7.60,
01/17/2026,01/17/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-40.60,
01/18/2026,01/18/2026,SAFEWAY #1842 FREMONT CA,,Sale,-15.62,
01/19/2026,01/19/2026,SHELL OIL 57444216508,,Sale,-48.28,
01/19/2026,01/19/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-11.13,
01/19/2026,01/19/2026,WARNERMEDIA*HBO MAX,,Sale,-16.99,
01/20/2026,01/20/2026,PAYPAL *ETSY INC 4029357733,,Sale,-43.30,
01/20/2026,01/20/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-58.31,
01/20/2026,01/20/2026,TARGET T-2213 UNION CITY CA,,Sale,-16.79,
01/21/2026,01/21/2026,PUBLIX #1397 MIAMI FL,,Sale,-30.58,
01/22/2026,01/22/2026,VENMO*PAYMENT,,Sale,-78.90,
01/23/2026,01/23/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-93.53,
01/25/2026,01/25/2026,GOOGLE*HULU,,Sale,-9.99,
01/25/2026,01/25/2026,SQ *PHILZ COFFEE,,Sale,-79.70,
01/28/2026,01/28/2026,PUBLIX #1397 MIAMI FL,,Sale,-60.41,
01/28/2026,01/28/2026,SAFEWAY #1842 FREMONT CA,,Sale,-18.82,
01/28/2026,01/28/2026,ZXC* Site Access 800-123-4567,,Sale,-12.00,
01/29/2026,01/29/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-13.08,
01/29/2026,01/29/2026,SAFEWAY #1842 FREMONT CA,,Sale,-25.74,
01/30/2026,01/30/2026,VENMO*PAYMENT,,Sale,-85.67,
02/01/2026,02/01/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-72.13,
02/01/2026,02/01/2026,PUBLIX #1397 MIAMI FL,,Sale,-46.22,
02/01/2026,02/01/2026,TARGET T-2213 UNION CITY CA,,Sale,-81.80,
02/03/2026,02/03/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-56.69,
02/03/2026,02/03/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-75.27,
02/03/2026,02/03/2026,AWS EMEA aws.amazon.co,,Sale,-50.39,
02/03/2026,02/03/2026,NETFLIX.COM,,Sale,-24.99,
02/03/2026,02/03/2026,PAYPAL *ETSY INC 4029357733,,Sale,-48.73,
02/04/2026,02/04/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-16.92,
02/04/2026,02/04/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-72.89,
02/06/2026,02/06/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-88.81,
02/06/2026,02/06/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-12.45,
02/06/2026,02/06/2026,SHELL OIL 57444216508,,Sale,-31.67,
02/07/2026,02/07/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-10.55,
02/07/2026,02/07/2026,Amazon Prime,,Sale,-14.99,
02/07/2026,02/07/2026,TARGET T-2213 UNION CITY CA,,Sale,-21.68,
02/07/2026,02/07/2026,TARGET T-2213 UNION CITY CA,,Sale,-38.71,
02/08/2026,02/08/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-35.80,
02/08/2026,02/08/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-34.83,
02/08/2026,02/08/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-5.21,
02/09/2026,02/09/2026,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
02/09/2026,02/09/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-18.50,
02/09/2026,02/09/2026,IN N OUT BURGER 234,,Sale,-36.96,
02/10/2026,02/10/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-76.30,
02/10/2026,02/10/2026,SAFEWAY #1842 FREMONT CA,,Sale,-47.69,
02/10/2026,02/10/2026,TST* TARTINE BAKERY 0091,,Sale,-23.30,
02/11/2026,02/11/2026,APPLE.COM/BILL 866-712-7753,,Sale,-16.99,
02/12/2026,02/12/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-10.28,
02/12/2026,02/12/2026,TARGET T-2213 UNION CITY CA,,Sale,-45.27,
02/12/2026,02/12/2026,VENMO*PAYMENT,,Sale,-67.85,
02/14/2026,02/14/2026,SUPER+ *1833-773-8471,,Sale,-8.99,
02/14/2026,02/14/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-23.36,
02/15/2026,02/15/2026,IN N OUT BURGER 234,,Sale,-24.10,
02/15/2026,02/15/2026,IN N OUT BURGER 234,,Sale,-54.53,
02/17/2026,02/17/2026,IN N OUT BURGER 234,,Sale,-60.47,
02/17/2026,02/17/2026,PAYPAL *ETSY INC 4029357733,,Sale,-75.74,
02/18/2026,02/18/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-25.42,
02/18/2026,02/18/2026,IN N OUT BURGER 234,,Sale,-32.45,
02/18/2026,02/18/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-78.44,
02/19/2026,02/19/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-55.22,
02/19/2026,02/19/2026,TARGET T-2213 UNION CITY CA,,Sale,-59.37,
02/19/2026,02/19/2026,WARNERMEDIA*HBO MAX,,Sale,-16.99,
02/20/2026,02/20/2026,SQ *PHILZ COFFEE,,Sale,-26.95,
02/20/2026,02/20/2026,TARGET T-2213 UNION CITY CA,,Sale,-45.50,
02/21/2026,02/21/2026,PAYPAL *ETSY INC 4029357733,,Sale,-4.05,
02/21/2026,02/21/2026,SHELL OIL 57444216508,,Sale,-55.64,
02/21/2026,02/21/2026,SQ *PHILZ COFFEE,,Sale,-90.23,
02/22/2026,02/22/2026,IN N OUT BURGER 234,,Sale,-25.24,
02/22/2026,02/22/2026,SHELL OIL 57444216508,,Sale,-93.71,
02/22/2026,02/22/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-70.63,
02/23/2026,02/23/2026,PSP*convenient store NY,,Sale,-55.64,
02/23/2026,02/23/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-27.66,
